AUDIT-K,,,,,,,
0~4점,,,,,,,
"결과해석
남 / 녀 
정상음주: ~9 / ~5
위험음주: ~19 / ~9
알코올 사용장애: 20 / 10",0점,1점,2점,3점,4점,,
1. 얼마나 자주 술을 드십니까?,전혀 안 마신다,월 1회 미만,월 2~4회,주 2~3회,주 4회 이상,,
2. 술을 마시는 날은 보통 몇 잔을 마십니까?,1-2잔,3-4잔,5-6잔,7-9잔,10잔 이상,,
3. 한번에 술좌석에서 6잔(또는 맥주 2000cc) 이상을 마시는 횟수는 어느 정도입니까?,전혀 없다,월 1회 미만,월 1회 ,주 1회,거의 매일,,
4. 지난 1년간 일단 술을 마시기 시작하여 자제가 안 된 적이 있습니까?,전혀 없다,월 1회 미만,월 1회 ,주 1회,거의 매일,,
5. 지난 1년간 음주 때문에 일상생활에 지장을 받은 적이 있습니까?,전혀 없다,월 1회 미만,월 1회 ,주 1회,거의 매일,,
6. 지난 1년간 과음 후 다음날 아침 정신을 차리기 위해 해장술을 마신 적이 있습니까?,전혀 없다,월 1회 미만,월 1회 ,주 1회,거의 매일,,
7. 지난 1년간 음주 후 술을 마신 것에 대해 후회한 적이 있습니까?,전혀 없다,월 1회 미만,월 1회 ,주 1회,거의 매일,,
8. 지난 1년간 술을 깬 후에 취중의 일을 기억할 수 없었습니까?,전혀 없다,월 1회 미만,월 1회 ,주 1회,거의 매일,,
9. 당신의 음주로 인해 자신이나 다른 사람이 다친 것이 있습니까?,전혀 없다,있지만 지난 1년 간에는 없었다,,지난 1년간 있었다,,,
10. 가족이나 의사가 당신의 음주에 대해 걱정 했었거나 술을 끊거나 줄이라는 권고를 한 적이 있습니까?,전혀 없다,있지만 지난 1년 간에는 없었다,,지난 1년간 있었다,,,
,,,,,,,
,,,,,,,
Translated Richmond Compulsive Buying Scale(RCBS),,,,,,,
1~7점,,,,,,,
Cut-off: 25,매우 그렇지 않다               ←----------------------------------------------→               매우 그렇다,,,,,,
당신을 가장 잘 표현하는 응답을 선택하시오,1점 (매우 그렇지 않다),2점,3점,4점,5점,6,7
1. 내 옷장 안에는 열지 않은 쇼핑백들이 있다.,,,,,,,
2. 다른 사람들이 나를 쇼핑중독자로 생각할지도 모른다.,,,,,,,
3. 내 일상의 대부분은 물건 구입에 집중되어 있다.,,,,,,,
4. 나는 스스로를 충동구매자라고 생각한다.,,,,,,,
,전혀 없다               ←----------------------------------------------→               매우 빈번하다,,,,,,
당신을 가장 잘 표현하는 응답을 선택하시오,1,2,3,4,5,6,7
5. 나는 내가 필요하지 않은 물건들을 산다.,,,,,,,
6. 나는 내가 사려고 계획하지 않았던 물건들을 산다.,,,,,,,
,,,,,,,
,,,,,,,
Compulsive Buying Scale(CBS),,,,,,,
1~5점,,,,,,,
"Cut-off:
-9.69+(Q1a×0.33)+(Q2a×0.34)+(Q2b×0.50)+(Q2c×0.47)
+(Q2d×0.33)+(Q2e×0.38)+(Q2f×0.31) 
방정식을 사용하여 계산하였다(원척도 설문 문항은 1a, 2a~2f로 구성). 
평균으로부터 2SD 이상을 기준으로 한 절단점은 -1.34점",매우 그렇다           ←---------------------→          매우 그렇지 않다,,,,,,
,1,2,3,4,5,,
1. 쇼핑을 마칠 때 돈이 남아있으면. 그 돈을 다 써야만 한다.,,,,,,,
2. 다른 사람들이 나릐 구매습관을 알게 될까봐 두렵다.,,,,,,,
"3. 지불할 능력이 되지 않음에도 불구하고, 물건을 구입한 적이 있다.",,,,,,,
"4. 은행에 잔고가 없는 줄을 알면서도, 쇼핑을 위해 신용카드로 물건을 구입한 적이 있다.",,,,,,,
5. 기분전환을 위해 쇼핑을 한 적이 있다.,,,,,,,
6. 쇼핑을 하지 않으면 기분이 우울해지거나 불안해진 적이 있다.,,,,,,,
7. 카드 한도가 거의 다할 때까지 돈을 쓰는 습관이 있다.,,,,,,,
,,,,,,,
,,,,,,,
Fagerstrom test for nicotine dependence(FTND),,,,,,,
0~3점,,,,,,,
Cut-off: 7점 이상,0,1,2,3,,,
1. 아침에 일어나서 얼마만에 첫 담배를 피우십니까?,5분 이내,6-30분 이내,31-60분 이내,60분 이후,,,
"2. 지하철, 버스, 병원, 영화관 등과 같은 금연구역에서 흡연 욕구를 참는 것이 어렵습니까?",아니요,예,,,,,
"3. 가장 포기하기 싫은 담배, 다시 말해 가장 좋아하는 담배는 어떤 것입니까?",그 외의 담배,아침의 첫 담배,,,,,
4. 하루에 담배를 몇 개비나 피우십니까?,10개비 이하,11-20개비,21-30개비,30개비 이상,,,
5. 깨어나서 처음 몇 시간 피우는 흡연량이 하루의 다른 때보다 더 많습니까?,아니요,예,,,,,
"6. 아파서, 거의 하루종일 누워있거나, 감기나 독감에 걸려 호흡이 곤란할 때에도 담배를 피우십니까?",아니요,예,,,,,
,,,,,,,
,,,,,,,
Yale Food Addiction Scale(YFAS),,,,,,,
0~4점,,,,,,,
"8개 항목에서 하나라도 1점 이상이면 그 항목에 해당되는 것으로 해석
8개 항목 중 1개 항목 미만이면 정상, 3개 항목 이상이면 음식중독을 의심

1) 과식 혹은 폭식질문 #1, #2, #3
2) 끊어버리고 싶은 지속적인 욕구나 반복적인 시도 질문 #4, #22, # 24, #25
3) 음식을 얻기위해 시간을 내거나 찾아다님 질문 #5, #6, #7
4) 사회적 관계, 직장, 여가 활동에 지장을 받음 질문 #8, #9, #10, #11
5) 부작용을 겪으면서도 끊지 못함 질문 #19
6) 내성 질문 #20, #21
7) 금단증상 질문 #12, #13, #14
8) 신체적 증상 질문 #15, #16


0 = 해당없음, 1 = 해당됨
0 = (0), 1 = (1): #19, #20, #21, #22
0 = (1), 1 = (0): #24
0 = (0~1), 1 = (2~4): #8, #10, #11
0 = (0~2), 1 = (3~4): #3, #5, #7, #9, #12, #13, #14, #15, #16
0 = (0~3), 1 = (4): #1, #2, #4, #6, #25

#17, #18, #23 은 점수를 계산하지 않습니다.",,,,,,,
"지난 1년 동안 귀하의 식습관을 알아보기 위한 것입니다.
(단 음식, 정제탄수화물 음식, 짭짜름한 음식, 기름진 음식, 단맛 나는 음료 등 귀하가 조절하기 힘들어 했던 어떤 종류의 음식이든 그 음식에 대해 답변을 해주십시오.)",0,1,2,3,4,,
,전혀 아니다,한 달에 한 번,한 달의 2~4번,일주일에 2~3번,일주일에 4번 이상 혹은 매일,,
1. 내가 특정음식을 먹을 때면 계획했던 것보다 훨씬 더 많은 양을 남기지 않고 다 먹게 된다.,,,,,,,
2. 더 이상 배고프지 않고 배가 부른데도 특정 음식을 계속해서 먹고있다.,,,,,,,
3. 너무 많이 먹어서 배가 터질 것 같고 불편할 때까지 먹는다.,,,,,,,
4. 가끔씩 특정 음식 먹는 것을 완전 끊거나 줄여야 하는게 아닌가 하는 거정을 할 때가 있다.,,,,,,,
5. 하루 중 많은 시간을 과식으로 인해 축 처져있거나  피로감을 느끼면서 보낸다.,,,,,,,
6. 하루종일 특정음식을 끊임 없이 먹고 있는 자신을 발견한다.,,,,,,,
7. 특정 음식이 가까이 없으면 그것을 구입하기 위해 일부러 밖에 나간다. 예를 들어 집안에 다른 먹을거리가 있어도 특정음식을 구입하기 위해 차를 몰고 나간다.,,,,,,,
"8. 내가 특정 음식을 과다하게 혹은 빈번하게 섭취하느라 업무 시간, 가족 친구들과 어울리는 시간, 중요한 약속이나 여가활동에 지장을 받으면서 음식을 먹은 적이 여러 번 있다.",,,,,,,
"9.  내가 특정 음식을 과다하게 혹은 빈번하게 섭취하느라 업무 시간, 가족 친구들과 어울리는 시간, 중요한 약속이나 여가활동에 지장을 받으면서 과식한 것에 대해 부정적인 느낌에 빠져 지낸 적이 여러 번 있다.",,,,,,,
"10. 업무 때문에 참석해야 하는 자리 혹은 공식 석상에서 특정 음식을 과다하게 먹게 될까봐 일부러 자리를 피한 적이 여러 번 있다.
",,,,,,,
11. 업무 때문에 참석해야 하는 자리 혹은 공식 석상에서 특정 음식을 먹을 수 없게 될까봐 일부러 자리를 피한 적이 여러 번 있다.,,,,,,,
"12. 특정 음식을 일부러 끊거나 줄였을 때 금단증상(불안, 짜증, 우울감 혹은 두통 같은 신체 증상)이 나타난다.
",,,,,,,
"13. 불안, 짜증, 우울감 혹은 두통 같은 신체증상이 생기는 것을 막으려고 특정 음식을 섭취한 적이 있다.",,,,,,,
"14. 특정 음식을 일부러 끊거나 줄였을 때 그 음식을 먹고싶은 강렬한 욕구를 경험한 적이 있다.
",,,,,,,
"15. 특정 음식이나 식습관에 대한 나의 행동 때문에 심각하게 느낄 정도로 스트레스를 받는다.
",,,,,,,
"16. 특정 음식이나 식습관 때문에 일상생활, 학교, 직장, 사회활동, 집안일 등에서 효율적으로 능력발휘를 못하고 심각한 문제를 일으킨 적이 있다.",,,,,,,
,0,1,2,3,4,,
,아니다,그렇다,,,,,
"17. 특정 음식에 대한 집착이나 과식하는 식습관으로 인해 심각할 정도로 우울, 불안, 자기혐오, 죄책감 같은 정신적 문제가 생겼다.",,,,,,,
"18. 특정 음식에 대한 집착이나 과식하는 식습관으로 인해 심각할 정도로 신체 증상이 생기거나 갖고 있던 신체증상이 더 심해졌다.
",,,,,,,
"19. 감정적이고 신체적인 문제가 있음에도 불구하고 같은 형태의 특정 음식이나 과도한 음식섭취량을 끊거나 줄이지 못하고 계속한다.
",,,,,,,
"20. 시간이 지날수록, 부정적인 감정을 줄이고 쾌감을 더 늘리기 위해 특정음식 섭취량이 점점 더 늘어난다.
",,,,,,,
"21. 예전에 먹었던 똑같은 섭취량으로는 부정적인 감정이 줄어들거나 쾌감이 더 늘어나지 않는다.
",,,,,,,
22. 특정 음식을 완전히 끊고 싶다.,,,,,,,
23. 특정 음식을 끊어보려는 시도를 해봤다.,,,,,,,
24. 특정 음식을 줄이거나 끊는데 성공한 적이 있다.,,,,,,,
25. 지난 1년간 특정 음식을 줄여보거나 끊으려는 시도를 몇 번이나 해봤습니까?,1번,2번,3번,4번,5번 이상,,
26. 문제를 일으키는 음식을 모두 작성해주세요.,,,,,,,
