Num,Question,비고,,,,,,
1,나는 야외에서 10 분 동안 햇볕을 쪼인다.,햇빛,,Healthy Lifestyle Screen 대LS),,,,
2,나는 외출할 때 선크림을 올바르게 사용한다.,햇빛,,,매우 (항상),그렇다,그넣지 (거의),전혀 않다 (전혀)
3,나는 햇볕을 쪼일 때 피부를 노출시킨다.,햇빛,,,,,,
4,나는 햇볕이 잘 드는 곳에서 일(공부)한다.,햇빛,,,,,,
5,나는 물을 하루에 8컵을 마신다.,물,,,,,,
6,나는 평소에 갈증을 느낀다.,물,,,,,,
7,나는 식사 중에 물을 마신다.,물,,,,,,
8,나는 카페인이 함유된 음료를 마신다.,물,,,,,,
9,나는 복식호흡을 한다.,공기,,,,,,
10,나는 운동을 할 때 입으로 숨을 쉰다.,공기,,,,,,
11,나는 실내공기가 깨끗한 곳에서 산다.,공기,,,,,,
12,나는 지난 6개월간 홀연하지 않았다.,공기,,,,,,
13,나는 매일 7~8 시간 잠을 잔다.,쉬다,,,,,,
14,나는 저녁에 3시간 이상 전자기기를 사용한다.,쉬다,,,,,,
15,나는 자기전에 과도하게 운동하지 않는다.,쉬다,,,,,,
16,나는 일찍자고 일찍 일어난다. (10 시전 취침),쉬다,,,,,,
17,나는 매일 30분 이상 운동한다.,운동,,,,,,
18,나는 땀을 흘리는 유산소를 한다. (적당한 심박수),운동,,,,,,
19,나는 틈나는 대로 신체활동을 즐긴다.,운동,,,,,,
20,나는 일(공부)할 때 한 동작을 오랜 시간 유지한다.,운동,,,,,,
21,나는 건강한 아침식사를 한다.,영양물 섭취,,,,,,
22,나는 규칙적인 식사를 한다.,영양물 섭취,,,,,,
23,나는 자극성 없는 음식을 먹는다.,영양물 섭취,,,,,,
24,나는 영양적으로 균형진 식사를 한다.,영양물 섭취,,,,,,
25,나는 우울할 때 과식한다.,절제,,,,,,
26,나는 지난 1년동안 술을 마시지 않았다.,절제,,,,,,
27,나는 일(공부)과 휴식 사이의 균형을 유지한다.,절제,,,,,,
28,나는 쉽게 화를 내거나 짜증낸다.,절제,,,,,,
29,나는 삶의 목적이 있다.,믿음,,,,,,
30,나는 미래에 대한 희망이 있다.,믿음,,,,,,
31,나는 가족이나 친구에게 사랑 받고 있다고 느낀다.,믿음,,,,,,
32,나는 정기적으로 기도나 명상을 한다.,믿음,,,,,,
33,나는 적정체중을 유지하고 있다.,일반적인 신체상태,,,,,,
34,내 혈압은 정상범위에 있다.,일반적인 신체상태,,,,,,
35,내 혈당은 정상범위에 있다.,일반적인 신체상태,,,,,,
36,나는 규직적인 배변습관을 유지하고 있다,일반적인 신체상태,,,,,,
